aprobacion_presidencial,tendencia,word,n
Desaprueba,Centro Derecha / Derecha,delincuencia,4.97874
Desaprueba,Centro Izquierda / Izquierda,carabineros,4.94848
Desaprueba,Centro Derecha / Derecha,falta,4.91804
Desaprueba,Centro Izquierda / Izquierda,realmente,4.87139
Desaprueba,Ninguno / Independiente,estudios,4.86026
Desaprueba,Centro Izquierda / Izquierda,llevando,4.84021
Desaprueba,Ninguno / Independiente,mejorar,4.82089
Desaprueba,Ninguno / Independiente,maneja,4.80935
Desaprueba,Centro Izquierda / Izquierda,desigualdad,4.77743
Desaprueba,Centro Izquierda / Izquierda,tipo,4.76413
Desaprueba,Centro Izquierda / Izquierda,nivel,4.75825
Desaprueba,Centro Izquierda / Izquierda,tomado,4.6992
Desaprueba,Ninguno / Independiente,libres,4.67848
Desaprueba,Centro Izquierda / Izquierda,genero,4.66421
Desaprueba,Centro,años,4.65903
Desaprueba,Centro,plata,4.65327
Desaprueba,Ninguno / Independiente,malo,4.62306
Desaprueba,Centro Izquierda / Izquierda,apoya,4.61197
Desaprueba,Ninguno / Independiente,pagar,4.58187
Desaprueba,Ninguno / Independiente,araucania,4.5748
Desaprueba,Centro Izquierda / Izquierda,ideologia,4.57069
Desaprueba,Centro Izquierda / Izquierda,pasa,4.56057
Desaprueba,Centro Izquierda / Izquierda,pasando,4.51011
Desaprueba,Ninguno / Independiente,beneficio,4.50886
Desaprueba,Centro Izquierda / Izquierda,alta,4.50611
Desaprueba,Ninguno / Independiente,queda,4.48212
Desaprueba,Ninguno / Independiente,simplemente,4.47681
Desaprueba,Ninguno / Independiente,carabineros,4.45352
Desaprueba,Ninguno / Independiente,realidad,4.44341
Desaprueba,Ninguno / Independiente,bono,4.43697
Desaprueba,Centro Derecha / Derecha,sociales,4.40694
Desaprueba,Ninguno / Independiente,mil,4.39943
Desaprueba,Ninguno / Independiente,molesta,4.38296
Desaprueba,Centro Izquierda / Izquierda,trato,4.34882
Desaprueba,Centro Izquierda / Izquierda,chile,4.33505
Desaprueba,Centro Izquierda / Izquierda,contaminacion,4.31411
Desaprueba,Centro Derecha / Derecha,campaña,4.30194
Desaprueba,Ninguno / Independiente,consecuente,4.29437
Desaprueba,Centro Izquierda / Izquierda,ricos,4.27802
Desaprueba,Centro Izquierda / Izquierda,vida,4.26455
Desaprueba,Centro Izquierda / Izquierda,conciencia,4.22377
Desaprueba,Ninguno / Independiente,social,4.219
Desaprueba,Centro,social,4.20546
Desaprueba,Centro,pobreza,4.19971
Desaprueba,Centro Izquierda / Izquierda,gratuidad,4.19455
Desaprueba,Ninguno / Independiente,incumplimiento,4.19146
Desaprueba,Centro Izquierda / Izquierda,cumplir,4.18891
Desaprueba,Ninguno / Independiente,media,4.17831
Desaprueba,Ninguno / Independiente,baja,4.15496
Desaprueba,Ninguno / Independiente,aca,4.13776
Desaprueba,Centro Izquierda / Izquierda,fondo,4.13197
Desaprueba,Centro Izquierda / Izquierda,populismo,4.1123
Desaprueba,Centro Izquierda / Izquierda,transparencia,4.10783
Desaprueba,Centro Izquierda / Izquierda,discurso,4.09832
Desaprueba,Centro Izquierda / Izquierda,gustan,4.06869
Desaprueba,Centro Izquierda / Izquierda,situacion,4.05232
Desaprueba,Centro Izquierda / Izquierda,baja,4.04491
Desaprueba,Ninguno / Independiente,oportunidades,4.01745
Desaprueba,Centro Derecha / Derecha,chile,4.0128
Desaprueba,Ninguno / Independiente,lento,4.01131
Desaprueba,Ninguno / Independiente,nivel,4.01057
Desaprueba,Ninguno / Independiente,ministro,4.00084
Desaprueba,Centro Izquierda / Izquierda,tendencia,3.97887
Desaprueba,Centro Izquierda / Izquierda,necesita,3.9511
Desaprueba,Ninguno / Independiente,chile,3.94012
Desaprueba,Ninguno / Independiente,pega,3.93926
Desaprueba,Centro Izquierda / Izquierda,gabinete,3.93725
Desaprueba,Centro Izquierda / Izquierda,años,3.93393
Desaprueba,Centro,manejo,3.92926
Desaprueba,Ninguno / Independiente,negocio,3.9192
Desaprueba,Centro Izquierda / Izquierda,importante,3.91474
Desaprueba,Centro,persona,3.91278
Desaprueba,Centro Izquierda / Izquierda,informacion,3.90599
Desaprueba,Centro Derecha / Derecha,salud,3.89886
Desaprueba,Centro Derecha / Derecha,problemas,3.89595
