aprobacion_presidencial,edad,word,n
Aprueba,55 o+,ojala,2.60712
Aprueba,18-34,salio,2.58653
Aprueba,55 o+,quedo,2.58605
Aprueba,18-34,desempeño,2.57562
Aprueba,35-54,avance,2.57193
Aprueba,35-54,desempeño,2.57145
Aprueba,18-34,enfrentado,2.57058
Aprueba,55 o+,golpe,2.56899
Aprueba,55 o+,trabajador,2.56713
Aprueba,35-54,manejado,2.56313
Aprueba,18-34,situaciones,2.5592
Aprueba,35-54,aprueba,2.5591
Aprueba,35-54,genero,2.557
Aprueba,18-34,crisis,2.5563
Aprueba,55 o+,mundo,2.55621
Aprueba,55 o+,lento,2.55412
Aprueba,35-54,indices,2.55395
Aprueba,18-34,interesa,2.55142
Aprueba,55 o+,aprueba,2.55046
Aprueba,18-34,ejecutado,2.54686
Aprueba,55 o+,clase,2.54503
Aprueba,55 o+,media,2.54503
Aprueba,18-34,digamos,2.54336
Aprueba,18-34,aprueba,2.54076
Aprueba,18-34,cumplido,2.53838
Aprueba,35-54,mejorar,2.53712
Aprueba,55 o+,artas,2.52891
Aprueba,35-54,recursos,2.52207
Aprueba,35-54,sobretodo,2.51952
Aprueba,55 o+,mejorando,2.51659
Aprueba,35-54,tomado,2.50045
Aprueba,35-54,cosa,2.50015
Aprueba,55 o+,hagan,2.48642
Aprueba,35-54,conocimiento,2.47782
Aprueba,18-34,gustado,2.47778
Aprueba,18-34,años,2.4541
Aprueba,55 o+,consecuente,2.45092
Aprueba,18-34,mayores,2.44898
Aprueba,18-34,independiente,2.44552
Aprueba,55 o+,diciplina,2.43875
Aprueba,18-34,meses,2.41155
Aprueba,35-54,aumento,2.40592
Aprueba,35-54,acá,2.3935
Aprueba,35-54,està,2.38656
Aprueba,18-34,año,2.37354
Aprueba,55 o+,tanta,2.37154
Aprueba,35-54,preocupacion,2.36942
Aprueba,18-34,malo,2.36213
Aprueba,55 o+,confio,2.36102
Aprueba,35-54,ido,2.35565
Aprueba,18-34,simplemente,2.35066
Aprueba,18-34,gracias,2.35038
Aprueba,55 o+,genero,2.34699
Aprueba,35-54,transparente,2.34427
Aprueba,18-34,publicas,2.33468
Aprueba,18-34,viviendas,2.33204
Aprueba,18-34,mejora,2.331
Aprueba,18-34,plazo,2.32445
Aprueba,35-54,inversiones,2.322
Aprueba,18-34,cosa,2.31757
Aprueba,55 o+,viene,2.31579
Aprueba,35-54,manejando,2.31222
Aprueba,35-54,crecer,2.30668
Aprueba,35-54,programas,2.2933
Aprueba,55 o+,experiencia,2.28762
Aprueba,18-34,mejoria,2.28653
Aprueba,35-54,reactivacion,2.28588
Aprueba,35-54,empezando,2.28405
Aprueba,18-34,campo,2.27829
Aprueba,55 o+,cumpliendo,2.272
Aprueba,18-34,problema,2.271
Aprueba,35-54,pensamiento,2.26183
Aprueba,35-54,polìtica,2.2578
Aprueba,18-34,cara,2.25776
Aprueba,18-34,nacional,2.24713
Aprueba,35-54,valores,2.24376
Aprueba,55 o+,presidenta,2.2374
Aprueba,35-54,presidenta,2.23621
Aprueba,35-54,haga,2.23491
Aprueba,35-54,cumplir,2.23294
Aprueba,35-54,mueve,2.22691
Aprueba,35-54,llevando,2.2264
Aprueba,18-34,generando,2.21791
Aprueba,35-54,realidad,2.2152
Aprueba,35-54,siento,2.21154
Aprueba,18-34,salido,2.20901
Aprueba,18-34,pienso,2.20717
Aprueba,55 o+,logrando,2.20451
Aprueba,35-54,gustado,2.20198
Aprueba,35-54,solucionar,2.1939
Aprueba,55 o+,preparacion,2.19208
Aprueba,55 o+,aborto,2.18639
Aprueba,18-34,encontrado,2.1808
Aprueba,35-54,bio,2.17306
Aprueba,35-54,region,2.17306
Aprueba,35-54,bono,2.16736
Aprueba,35-54,partidos,2.1597
Aprueba,35-54,campaña,2.15433
Aprueba,35-54,libre,2.14469
Aprueba,35-54,situaciones,2.1442
Aprueba,18-34,abrir,2.1434
Aprueba,18-34,tanta,2.14157
Aprueba,35-54,propuestas,2.14039
Aprueba,35-54,poquito,2.1374
Aprueba,18-34,dirigir,2.12356
Aprueba,35-54,pobre,2.11545
Aprueba,35-54,bienestar,2.10929
Aprueba,55 o+,unidad,2.10804
Aprueba,35-54,tendencia,2.09883
Aprueba,35-54,aspectos,2.09734
Aprueba,35-54,generar,2.09673
Aprueba,35-54,fuentes,2.09556
Aprueba,55 o+,capacidad,2.09359
Aprueba,35-54,cabo,2.08755
Aprueba,18-34,jovenes,2.08581
Aprueba,55 o+,conozco,2.07389
Aprueba,35-54,ingreso,2.07225
Aprueba,55 o+,adultos,2.06961
Aprueba,55 o+,mayores,2.06961
Aprueba,35-54,levantar,2.06917
Aprueba,35-54,ejecutar,2.06841
Aprueba,35-54,sentido,2.06834
Aprueba,55 o+,movimiento,2.05712
Aprueba,55 o+,aplica,2.0528
Aprueba,55 o+,opiniones,2.0519
Aprueba,35-54,sacando,2.04502
Aprueba,18-34,importa,2.0448
Aprueba,35-54,realmente,2.0445
Aprueba,55 o+,empezando,2.0432
Aprueba,35-54,liderazgo,2.04274
Aprueba,18-34,minuto,2.0377
Aprueba,55 o+,señora,2.0377
Aprueba,35-54,firme,2.03699
Aprueba,55 o+,especifico,2.03625
Aprueba,55 o+,principal,2.03597
Aprueba,35-54,conduccion,2.03234
Aprueba,18-34,bastantes,2.02797
Aprueba,55 o+,voluntad,2.02685
Aprueba,35-54,arto,2.02216
Aprueba,55 o+,año,2.02203
Aprueba,55 o+,sename,2.02177
Aprueba,55 o+,mueve,2.01572
Aprueba,55 o+,asunto,2.01467
Aprueba,18-34,mando,2.0093
Aprueba,35-54,arreglando,2.00689
Aprueba,35-54,estudiando,2.00433
Aprueba,55 o+,centro,2.00231
Aprueba,55 o+,profesional,2.0022
Aprueba,35-54,comercio,1.99918
Aprueba,35-54,mercado,1.99432
Aprueba,35-54,sename,1.99251
Aprueba,35-54,cuentas,1.99174
Aprueba,18-34,tomando,1.988
Aprueba,18-34,preocupando,1.98641
Aprueba,55 o+,propuestas,1.98612
Aprueba,55 o+,futuro,1.98346
Aprueba,35-54,sector,1.98024
Aprueba,35-54,inversion,1.97387
Aprueba,35-54,gustaba,1.97333
Aprueba,55 o+,aspecto,1.97232
Aprueba,55 o+,vote,1.96175
Aprueba,35-54,reactivando,1.9615
Aprueba,35-54,estudiantes,1.9596
Aprueba,55 o+,seriedad,1.95936
Aprueba,18-34,carabineros,1.9552
Aprueba,35-54,lider,1.95237
Aprueba,35-54,trato,1.94184
Aprueba,35-54,manos,1.94179
Aprueba,55 o+,intensiones,1.93646
Aprueba,55 o+,seria,1.93642
Aprueba,55 o+,libre,1.93455
Aprueba,55 o+,gustado,1.93396
Aprueba,55 o+,supone,1.93223
Aprueba,55 o+,comienzo,1.92942
Aprueba,55 o+,enserio,1.92942
Aprueba,55 o+,ministro,1.92942
Aprueba,55 o+,tomo,1.92942
Aprueba,55 o+,bonificacion,1.92835
Aprueba,55 o+,comentarios,1.92835
Aprueba,55 o+,entrevista,1.92835
Aprueba,55 o+,necesita,1.92835
Aprueba,55 o+,prensa,1.92835
Aprueba,55 o+,psyuepone,1.92835
Aprueba,35-54,opiniones,1.92771
Aprueba,35-54,llegan,1.92676
Aprueba,55 o+,habian,1.92666
Aprueba,55 o+,escucha,1.92646
Aprueba,35-54,desaprobarlo,1.9241
Aprueba,35-54,par,1.9241
Aprueba,35-54,chilenos,1.91984
Aprueba,55 o+,finanzas,1.91885
Aprueba,55 o+,excelente,1.91819
Aprueba,18-34,fuentes,1.91447
Aprueba,35-54,pone,1.91119
Aprueba,18-34,importancia,1.90992
Aprueba,55 o+,dirige,1.90979
Aprueba,55 o+,loe,1.90295
Aprueba,55 o+,opinion,1.90295
Aprueba,55 o+,publica,1.90295
Aprueba,55 o+,recalcarle,1.90295
Aprueba,55 o+,conducieron,1.90182
Aprueba,35-54,cumplido,1.89896
Aprueba,55 o+,tomando,1.89846
Aprueba,35-54,progresar,1.89826
Aprueba,35-54,baja,1.89625
Aprueba,35-54,izquierda,1.89297
Aprueba,55 o+,subio,1.88373
Aprueba,55 o+,socialy,1.88169
Aprueba,18-34,materia,1.87814
Aprueba,55 o+,cortar,1.86956
Aprueba,18-34,desempeña,1.85524
Aprueba,18-34,tomar,1.85479
Aprueba,55 o+,cree,1.85287
Aprueba,55 o+,dejar,1.85281
Aprueba,55 o+,reconoce,1.85281
Aprueba,18-34,anteriores,1.85063
Aprueba,35-54,ventas,1.84698
Aprueba,55 o+,quiero,1.84652
Aprueba,35-54,voto,1.846
Aprueba,55 o+,poniendo,1.84481
Aprueba,55 o+,laborales,1.84472
Aprueba,18-34,nuevamente,1.84221
Aprueba,18-34,organizando,1.84221
Aprueba,35-54,razon,1.83677
Aprueba,55 o+,pone,1.83532
Aprueba,55 o+,juicio,1.83286
Aprueba,55 o+,situaciones,1.83286
Aprueba,55 o+,tajantemente,1.8318
Aprueba,18-34,partidos,1.83144
Aprueba,18-34,principal,1.83107
Aprueba,18-34,estancado,1.82915
Aprueba,55 o+,toma,1.82
Aprueba,18-34,poniendo,1.81654
Aprueba,55 o+,compañia,1.81639
Aprueba,55 o+,completo,1.81639
Aprueba,55 o+,decirte,1.81639
Aprueba,55 o+,deja,1.81639
Aprueba,55 o+,desarrollar,1.81639
Aprueba,55 o+,ente,1.81639
Aprueba,55 o+,espacio,1.81639
Aprueba,55 o+,llegarte,1.81639
Aprueba,55 o+,llevo,1.81639
Aprueba,55 o+,malos,1.81639
Aprueba,55 o+,pair,1.81639
Aprueba,55 o+,puntos,1.81639
Aprueba,55 o+,solucionarlo,1.81639
Aprueba,55 o+,suerte,1.81639
Aprueba,55 o+,trabajai,1.81639
Aprueba,35-54,apoya,1.81424
Aprueba,35-54,yendo,1.81398
Aprueba,55 o+,espera,1.80902
Aprueba,55 o+,anda,1.80745
Aprueba,18-34,gastos,1.80059
Aprueba,18-34,alzas,1.80035
Aprueba,55 o+,sabria,1.79961
Aprueba,55 o+,mercado,1.79928
Aprueba,55 o+,etica,1.79841
Aprueba,55 o+,vida,1.79795
Aprueba,18-34,valores,1.79574
Aprueba,55 o+,partido,1.79142
Aprueba,55 o+,region,1.78733
Aprueba,55 o+,chilenos,1.78654
Aprueba,55 o+,sectores,1.78654
Aprueba,55 o+,grande,1.78168
Aprueba,55 o+,conclusiones,1.78127
Aprueba,18-34,avanzado,1.78019
Aprueba,55 o+,corrupcion,1.77542
Aprueba,18-34,asuntos,1.775
Aprueba,55 o+,plazo,1.77496
Aprueba,18-34,cacho,1.77372
Aprueba,18-34,pucha,1.77372
Aprueba,18-34,verdad,1.77372
Aprueba,18-34,comparacion,1.77125
Aprueba,18-34,postura,1.77016
Aprueba,55 o+,ordenado,1.76624
Aprueba,55 o+,conformarse,1.76442
Aprueba,55 o+,nomas,1.76442
Aprueba,55 o+,araucania,1.76415
Aprueba,18-34,responde,1.7618
Aprueba,18-34,apesar,1.75352
Aprueba,55 o+,oportunidades,1.74779
Aprueba,35-54,ladrones,1.74229
Aprueba,35-54,rigurosos,1.74229
Aprueba,55 o+,pobres,1.74152
Aprueba,18-34,transparente,1.73803
Aprueba,55 o+,cosas,1.73802
Aprueba,55 o+,explicar,1.73802
Aprueba,55 o+,grandes,1.73802
Aprueba,55 o+,pueod,1.73802
Aprueba,55 o+,reine,1.73802
Aprueba,55 o+,julio,1.73748
Aprueba,55 o+,junio,1.73748
Aprueba,55 o+,papeles,1.73748
Aprueba,55 o+,saco,1.73748
Aprueba,55 o+,planteamiento,1.7324
Aprueba,55 o+,propuesta,1.7324
Aprueba,35-54,credibilidad,1.73095
Aprueba,18-34,nota,1.72941
Aprueba,55 o+,controlando,1.72475
Aprueba,55 o+,idea,1.72411
Aprueba,18-34,siga,1.72267
Aprueba,18-34,usando,1.71727
Aprueba,18-34,credibilidad,1.71706
Aprueba,35-54,cumple,1.71484
Aprueba,35-54,vivienda,1.71484
Aprueba,18-34,siente,1.71373
Aprueba,55 o+,nivel,1.70602
Aprueba,55 o+,cumplir,1.70428
Aprueba,55 o+,area,1.70281
Aprueba,18-34,reelecto,1.70166
Aprueba,55 o+,cumplinedo,1.6998
Aprueba,55 o+,mayoria,1.6998
Aprueba,18-34,arreglar,1.69473
Aprueba,35-54,equipo,1.68566
Aprueba,35-54,asiendo,1.68453
Aprueba,18-34,dinero,1.68179
Aprueba,18-34,aguinaldo,1.67143
Aprueba,18-34,ala,1.67143
Aprueba,18-34,altiro,1.67143
Aprueba,18-34,opciones,1.67143
Aprueba,18-34,paulatinos,1.67143
Aprueba,18-34,tanmto,1.67143
Aprueba,18-34,implementando,1.67126
Aprueba,55 o+,robos,1.6696
Aprueba,18-34,control,1.66941
Aprueba,55 o+,entrega,1.6686
Aprueba,35-54,progreso,1.66736
Aprueba,18-34,activando,1.66587
Aprueba,55 o+,traves,1.66378
Aprueba,35-54,estancado,1.66318
Aprueba,18-34,pasan,1.66172
Aprueba,18-34,ayudando,1.6614
Aprueba,18-34,flujo,1.65762
Aprueba,35-54,aceptado,1.64937
Aprueba,35-54,areas,1.64937
Aprueba,35-54,diferntes,1.64937
Aprueba,18-34,internacional,1.64728
Aprueba,18-34,policiales,1.6472
Aprueba,55 o+,invertir,1.64643
Aprueba,18-34,parecido,1.64457
Aprueba,18-34,mira,1.64222
Aprueba,18-34,ningun,1.64158
Aprueba,18-34,darle,1.63882
Aprueba,55 o+,acabando,1.63774
Aprueba,55 o+,razon,1.63774
Aprueba,55 o+,roban,1.63774
Aprueba,55 o+,vienen,1.63774
Aprueba,55 o+,faena,1.63531
Aprueba,55 o+,faeneros,1.63531
