aprobacion_presidencial,tendencia,word,n
Aprueba,Centro Izquierda / Izquierda,empresariado,3.62341
Aprueba,Centro Derecha / Derecha,maneja,3.59899
Aprueba,Centro Derecha / Derecha,ingreso,3.59654
Aprueba,Ninguno / Independiente,región,3.59025
Aprueba,Centro Derecha / Derecha,socialista,3.57081
Aprueba,Centro,tranquilidad,3.55359
Aprueba,Centro,delincuencia,3.54404
Aprueba,Centro,visto,3.5351
Aprueba,Centro Derecha / Derecha,opinion,3.52024
Aprueba,Ninguno / Independiente,gusto,3.51398
Aprueba,Centro Izquierda / Izquierda,leyes,3.51281
Aprueba,Centro Derecha / Derecha,tratar,3.48893
Aprueba,Centro Izquierda / Izquierda,visto,3.47965
Aprueba,Centro Derecha / Derecha,campaña,3.46505
Aprueba,Centro Derecha / Derecha,beneficio,3.44677
Aprueba,Ninguno / Independiente,arreglar,3.43221
Aprueba,Centro Derecha / Derecha,tipo,3.39302
Aprueba,Centro Derecha / Derecha,excelente,3.38566
Aprueba,Centro Derecha / Derecha,plazo,3.35601
Aprueba,Centro Derecha / Derecha,cosa,3.35469
Aprueba,Centro,ministro,3.34754
Aprueba,Centro Derecha / Derecha,dejar,3.34222
Aprueba,Centro Derecha / Derecha,seriedad,3.30999
Aprueba,Centro Derecha / Derecha,traves,3.30223
Aprueba,Centro Derecha / Derecha,gastos,3.30222
Aprueba,Centro Izquierda / Izquierda,forma,3.29861
Aprueba,Centro,orden,3.27802
Aprueba,Centro Derecha / Derecha,cargo,3.26053
Aprueba,Centro,forma,3.25231
Aprueba,Ninguno / Independiente,edad,3.23227
Aprueba,Ninguno / Independiente,ayude,3.23146
Aprueba,Centro Derecha / Derecha,necesitamos,3.21959
Aprueba,Centro Derecha / Derecha,ordenar,3.20753
Aprueba,Ninguno / Independiente,periodo,3.19497
Aprueba,Centro Derecha / Derecha,sistema,3.19116
Aprueba,Ninguno / Independiente,sacar,3.18293
Aprueba,Centro Derecha / Derecha,unico,3.17828
Aprueba,Ninguno / Independiente,tomado,3.15677
Aprueba,Ninguno / Independiente,papeles,3.13914
Aprueba,Ninguno / Independiente,agilidad,3.13184
Aprueba,Centro Derecha / Derecha,generando,3.13045
Aprueba,Ninguno / Independiente,decirte,3.12989
Aprueba,Ninguno / Independiente,quedo,3.10662
Aprueba,Centro Derecha / Derecha,relacion,3.10206
Aprueba,Centro Derecha / Derecha,salga,3.10037
Aprueba,Ninguno / Independiente,jubilacion,3.05098
Aprueba,Centro Derecha / Derecha,avanzando,3.03863
Aprueba,Centro Derecha / Derecha,libre,3.03554
Aprueba,Ninguno / Independiente,pais,3.02953
Aprueba,Centro Derecha / Derecha,preocupa,3.02906
Aprueba,Ninguno / Independiente,mejoras,3.02669
Aprueba,Centro Derecha / Derecha,sociales,3.01253
Aprueba,Ninguno / Independiente,ala,3.00869
Aprueba,Centro Derecha / Derecha,solucionar,3.0073
Aprueba,Ninguno / Independiente,llevo,3.00465
Aprueba,Centro Derecha / Derecha,mandato,2.99817
Aprueba,Centro Derecha / Derecha,programas,2.99745
Aprueba,Ninguno / Independiente,siento,2.99373
Aprueba,Ninguno / Independiente,esperanza,2.97389
Aprueba,Ninguno / Independiente,intenciones,2.97388
Aprueba,Centro Derecha / Derecha,escuchado,2.96195
Aprueba,Centro Derecha / Derecha,caracter,2.95006
Aprueba,Ninguno / Independiente,acabando,2.94923
Aprueba,Ninguno / Independiente,pega,2.94218
Aprueba,Ninguno / Independiente,minimo,2.93846
Aprueba,Centro Derecha / Derecha,sociedad,2.93711
Aprueba,Ninguno / Independiente,oportunidades,2.92624
