zona,tendencia,edad,sexo,aprobacion_presidencial,word,peso
Santiago,Centro,35-54,Mujer,Aprueba,reducir,1.01432
Santiago,Centro,35-54,Mujer,Aprueba,reformas,0.86271
Santiago,Centro,35-54,Mujer,Aprueba,resolver,0.86271
Santiago,Centro,35-54,Mujer,Aprueba,resueltos,0.86271
Santiago,Centro,35-54,Mujer,Aprueba,rigurosos,1.74229
Santiago,Centro,35-54,Mujer,Aprueba,simultaneo,0.86271
Santiago,Centro,35-54,Mujer,Aprueba,sistema,1.1431
Santiago,Centro,35-54,Mujer,Aprueba,situacion,0.86271
Santiago,Centro,35-54,Mujer,Aprueba,tomando,0.86271
Santiago,Centro,35-54,Mujer,Aprueba,tranquilidad,1.01432
Santiago,Centro,35-54,Mujer,Aprueba,transmite,1.01432
Santiago,Centro,35-54,Mujer,Aprueba,tratando,1.01432
Santiago,Centro,35-54,Mujer,Aprueba,ùltimo,1.01432
Santiago,Centro,35-54,Mujer,Aprueba,unir,1.01432
Santiago,Centro,35-54,Mujer,Aprueba,viendo,0.86271
Santiago,Centro,35-54,Mujer,Aprueba,visto,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,aberrante,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,aborto,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,adecuado,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,ambientales,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,aprobaron,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,arrepiento,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,bno,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,boca,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,botado,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,cargo,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,chile,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,chilenos,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,clasificacion,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,coloco,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,comercio,1.1431
Santiago,Centro,35-54,Mujer,Desaprueba,constexto,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,corresponde,1.72542
Santiago,Centro,35-54,Mujer,Desaprueba,cumple,0.86271
Santiago,Centro,35-54,Mujer,Desaprueba,economia,1.01432
Santiago,Centro,35-54,Mujer,Desaprueba,educacion,2.58813
