aprobacion_presidencial,word,n
Desaprueba,cargos,2.81513
Desaprueba,ves,2.8062
Desaprueba,privatizacion,2.80036
Desaprueba,progreso,2.79729
Desaprueba,despidos,2.79264
Desaprueba,posterga,2.7832
Desaprueba,seguimos,2.78036
Desaprueba,asaltos,2.77086
Desaprueba,portonazos,2.77086
Desaprueba,armadas,2.76606
Desaprueba,entrar,2.76214
Desaprueba,preferencia,2.7566
Desaprueba,millones,2.75336
Desaprueba,corriente,2.75004
Desaprueba,defiende,2.74347
Desaprueba,miente,2.74271
Desaprueba,concretas,2.73856
Desaprueba,legislativa,2.7322
Desaprueba,incongruencia,2.72745
Desaprueba,ultimamente,2.71249
Desaprueba,ingresando,2.71138
Desaprueba,favorece,2.70306
Desaprueba,mantener,2.70277
Desaprueba,subiendo,2.69924
Desaprueba,programas,2.69307
Desaprueba,santiago,2.6838
Desaprueba,totalidad,2.68259
Desaprueba,mundo,2.68048
Desaprueba,impuesto,2.67673
Desaprueba,refiero,2.67588
Desaprueba,minorias,2.6736
Desaprueba,subido,2.67216
Desaprueba,concuerdo,2.66918
Desaprueba,caos,2.66572
Desaprueba,viendo,2.65857
Desaprueba,empezando,2.65785
Desaprueba,base,2.6562
Desaprueba,vandalismo,2.65392
Desaprueba,tirar,2.64849
Desaprueba,curso,2.64804
Desaprueba,avance,2.64588
Desaprueba,demaciado,2.64145
Desaprueba,importa,2.64037
Desaprueba,po,2.63422
Desaprueba,estilo,2.62664
Desaprueba,punto,2.62596
Desaprueba,plantea,2.62115
Desaprueba,mercado,2.6162
Desaprueba,linea,2.61393
Desaprueba,político,2.61114
Desaprueba,real,2.60758
Desaprueba,caro,2.6057
Desaprueba,profesores,2.6035
Desaprueba,aumentado,2.60298
Desaprueba,quitado,2.59769
Desaprueba,ficha,2.59671
Desaprueba,resulta,2.59671
Desaprueba,puesto,2.59548
Desaprueba,dictadura,2.5844
Desaprueba,familiar,2.58421
Desaprueba,digamos,2.58371
Desaprueba,llevado,2.57396
Desaprueba,falso,2.57173
Desaprueba,agua,2.57025
Desaprueba,dirigirse,2.56983
Desaprueba,nomas,2.56687
Desaprueba,etc,2.56215
Desaprueba,aparte,2.55179
Desaprueba,quer,2.55023
Desaprueba,política,2.54824
Desaprueba,obrero,2.54195
Desaprueba,adecuado,2.54147
Desaprueba,demasiados,2.52626
Desaprueba,publico,2.525
Desaprueba,periodo,2.52333
Desaprueba,ciudad,2.5211
Desaprueba,principios,2.49352
Desaprueba,bajando,2.48921
Desaprueba,suficiente,2.48789
Desaprueba,políticas,2.48733
Desaprueba,medioambiente,2.47667
Desaprueba,fecha,2.47592
Desaprueba,mandando,2.46926
Desaprueba,cifras,2.46571
Desaprueba,desconfianza,2.45972
Desaprueba,generales,2.45818
Desaprueba,invertir,2.45744
Desaprueba,actua,2.45685
Desaprueba,propuesta,2.4562
Desaprueba,enfrenta,2.45511
Desaprueba,pagando,2.45494
Desaprueba,casas,2.44516
Desaprueba,actual,2.44285
Desaprueba,mujeres,2.4424
Desaprueba,pais,2.44078
Desaprueba,nota,2.43917
Desaprueba,llamamos,2.43768
Desaprueba,quede,2.43714
Desaprueba,empatia,2.43697
Desaprueba,cerraron,2.43567
Desaprueba,tomar,2.43316
Desaprueba,humilde,2.42767
Desaprueba,reclamar,2.42631
Desaprueba,situaciòn,2.42065
Desaprueba,puchuncavi,2.41753
Desaprueba,internos,2.40832
Desaprueba,pq,2.40771
Desaprueba,presta,2.39572
Desaprueba,referente,2.39405
Desaprueba,repite,2.38774
Desaprueba,saco,2.38696
Desaprueba,sirven,2.37906
Desaprueba,trabajador,2.37707
Desaprueba,corbata,2.37113
Desaprueba,cuello,2.37113
Desaprueba,resolver,2.36636
Desaprueba,tantas,2.36228
Desaprueba,tien,2.36133
Desaprueba,venian,2.36007
Desaprueba,contradicciones,2.35931
Desaprueba,demasiadas,2.35824
Desaprueba,propone,2.35507
Desaprueba,pareja,2.35487
Desaprueba,terminos,2.35417
Desaprueba,contingencia,2.3513
Desaprueba,sacado,2.34785
Desaprueba,presencia,2.34524
Desaprueba,metas,2.34326
Desaprueba,gano,2.34286
Desaprueba,apoyar,2.34106
Desaprueba,giratoria,2.34099
Desaprueba,llevamos,2.34083
Desaprueba,comunicar,2.33958
Desaprueba,solucionarlos,2.33871
Desaprueba,pagados,2.33373
Desaprueba,buscando,2.3277
Desaprueba,profesional,2.32613
Desaprueba,comun,2.31837
Desaprueba,hechos,2.31566
