aprobacion_presidencial,word,n
Aprueba,robos,2.30902
Aprueba,relativamente,2.30814
Aprueba,genera,2.30599
Aprueba,basa,2.29795
Aprueba,tantos,2.29704
Aprueba,fuente,2.29667
Aprueba,mujeres,2.29117
Aprueba,experiencia,2.28762
Aprueba,mejoria,2.28653
Aprueba,notar,2.27281
Aprueba,pensamiento,2.26183
Aprueba,dificil,2.2602
Aprueba,pequeñas,2.25887
Aprueba,màs,2.24759
Aprueba,nacional,2.24713
Aprueba,documentos,2.24569
Aprueba,conosco,2.24357
Aprueba,haria,2.21519
Aprueba,salido,2.20901
Aprueba,logrando,2.20451
Aprueba,encontrado,2.1808
Aprueba,duro,2.17533
Aprueba,bio,2.17306
Aprueba,coherente,2.1513
Aprueba,opcion,2.15043
Aprueba,pueblo,2.14352
Aprueba,abrir,2.1434
Aprueba,esperar,2.14109
Aprueba,arreglado,2.13555
Aprueba,rapidez,2.13451
Aprueba,buscando,2.13152
Aprueba,presupuesto,2.13055
Aprueba,dirigir,2.12356
Aprueba,pobre,2.11545
Aprueba,bienestar,2.10929
Aprueba,unidad,2.10804
Aprueba,mantener,2.10062
Aprueba,aspectos,2.09734
Aprueba,cabo,2.08755
Aprueba,saliendo,2.07734
Aprueba,conozco,2.07389
Aprueba,levantar,2.06917
Aprueba,ejecutar,2.06841
Aprueba,sentido,2.06834
Aprueba,movimiento,2.05712
Aprueba,aplica,2.0528
Aprueba,punto,2.04854
Aprueba,realmente,2.0445
Aprueba,ideologias,2.04374
Aprueba,liderazgo,2.04274
Aprueba,especifico,2.03625
Aprueba,llama,2.03391
Aprueba,conduccion,2.03234
Aprueba,actuar,2.0283
Aprueba,voluntad,2.02685
Aprueba,arto,2.02216
Aprueba,enfoque,2.01895
Aprueba,pa,2.00784
Aprueba,arreglando,2.00689
Aprueba,homosexuales,2.00443
Aprueba,estudiando,2.00433
Aprueba,ne,2.00318
Aprueba,centro,2.00231
Aprueba,profesional,2.0022
Aprueba,bolivia,1.99811
Aprueba,llamaban,1.99323
Aprueba,llegar,1.98642
Aprueba,contrario,1.97567
Aprueba,ende,1.96797
Aprueba,abre,1.95312
Aprueba,puertas,1.95312
Aprueba,lider,1.95237
Aprueba,manos,1.94179
Aprueba,intensiones,1.93646
Aprueba,eficiente,1.93539
Aprueba,comienzo,1.92942
Aprueba,enserio,1.92942
Aprueba,tomo,1.92942
Aprueba,bonificacion,1.92835
Aprueba,prensa,1.92835
Aprueba,psyuepone,1.92835
Aprueba,llegan,1.92676
Aprueba,compromiso,1.92512
Aprueba,desaprobarlo,1.9241
Aprueba,par,1.9241
Aprueba,megusta,1.91884
Aprueba,sensacion,1.91711
Aprueba,importancia,1.90992
Aprueba,loe,1.90295
Aprueba,recalcarle,1.90295
Aprueba,conducieron,1.90182
Aprueba,fondo,1.90017
Aprueba,progresar,1.89826
Aprueba,positivas,1.89067
Aprueba,iba,1.88299
Aprueba,socialy,1.88169
Aprueba,activacion,1.87841
Aprueba,materia,1.87814
Aprueba,cortar,1.86956
Aprueba,fe,1.86466
Aprueba,justicia,1.8572
Aprueba,desempeña,1.85524
Aprueba,fecha,1.84703
Aprueba,ventas,1.84698
Aprueba,organizando,1.84221
Aprueba,reducir,1.83711
Aprueba,defiende,1.8361
Aprueba,necesitaba,1.83471
Aprueba,exigir,1.83347
Aprueba,juicio,1.83286
Aprueba,tajantemente,1.8318
Aprueba,fiscales,1.82826
Aprueba,mire,1.8191
Aprueba,compañia,1.81639
Aprueba,completo,1.81639
Aprueba,desarrollar,1.81639
Aprueba,ente,1.81639
Aprueba,espacio,1.81639
Aprueba,llegarte,1.81639
Aprueba,malos,1.81639
Aprueba,pair,1.81639
Aprueba,solucionarlo,1.81639
Aprueba,suerte,1.81639
Aprueba,trabajai,1.81639
Aprueba,yendo,1.81398
Aprueba,asesores,1.81033
Aprueba,anda,1.80745
Aprueba,menores,1.80471
Aprueba,fuerza,1.80368
Aprueba,alzas,1.80035
Aprueba,etica,1.79841
Aprueba,vida,1.79795
Aprueba,depende,1.79607
Aprueba,ven,1.79429
Aprueba,anteriior,1.79316
Aprueba,condiciones,1.79122
Aprueba,conclusiones,1.78127
Aprueba,trayectoria,1.77868
Aprueba,disminuir,1.77625
Aprueba,antecedentes,1.775
Aprueba,penales,1.775
Aprueba,moviendo,1.77432
Aprueba,proyecciones,1.77383
Aprueba,cacho,1.77372
Aprueba,pucha,1.77372
Aprueba,verdad,1.77372
Aprueba,favorece,1.77275
Aprueba,independientes,1.76606
Aprueba,moral,1.76565
Aprueba,conformarse,1.76442
Aprueba,nomas,1.76442
Aprueba,responde,1.7618
Aprueba,rigurosos,1.74229
Aprueba,derecho,1.7395
Aprueba,grandes,1.73802
Aprueba,pueod,1.73802
Aprueba,reine,1.73802
Aprueba,claridad,1.73795
Aprueba,julio,1.73748
Aprueba,junio,1.73748
Aprueba,saco,1.73748
Aprueba,planteamiento,1.7324
Aprueba,propuesta,1.7324
Aprueba,pensando,1.72657
Aprueba,controlando,1.72475
Aprueba,humilde,1.7243
Aprueba,siga,1.72267
Aprueba,quie,1.72187
Aprueba,usando,1.71727
Aprueba,pasando,1.71048
Aprueba,derechista,1.70478
Aprueba,resultados,1.70248
Aprueba,reelecto,1.70166
Aprueba,cumplinedo,1.6998
Aprueba,conflicto,1.69133
Aprueba,socialismo,1.68902
Aprueba,protestas,1.68846
Aprueba,capaz,1.68328
Aprueba,dinero,1.68179
Aprueba,actuando,1.6761
Aprueba,correctas,1.6756
Aprueba,dedicado,1.6756
Aprueba,comparte,1.67224
Aprueba,aguinaldo,1.67143
Aprueba,paulatinos,1.67143
Aprueba,tanmto,1.67143
Aprueba,impulsa,1.67139
Aprueba,entrega,1.6686
Aprueba,progreso,1.66736
Aprueba,activando,1.66587
Aprueba,grupos,1.66466
Aprueba,impuestos,1.6598
Aprueba,sirve,1.65799
Aprueba,flujo,1.65762
Aprueba,libertad,1.65055
Aprueba,resto,1.65005
Aprueba,aceptado,1.64937
Aprueba,areas,1.64937
Aprueba,diferntes,1.64937
Aprueba,internacional,1.64728
Aprueba,invertir,1.64643
Aprueba,parecido,1.64457
Aprueba,roban,1.63774
Aprueba,faena,1.63531
Aprueba,faeneros,1.63531
Aprueba,entrar,1.6307
Aprueba,justo,1.62905
Aprueba,sacado,1.62517
Aprueba,impulsando,1.61945
Aprueba,agricultores,1.61573
Aprueba,trabajor,1.61573
Aprueba,ambiental,1.61199
Aprueba,cansados,1.61199
Aprueba,policial,1.61199
Aprueba,informacion,1.61176
Aprueba,juventud,1.60474
Aprueba,ampliado,1.6032
Aprueba,contado,1.6032
Aprueba,informada,1.6032
Aprueba,vistos,1.60235
Aprueba,surgiendo,1.60219
Aprueba,apoyan,1.59828
Aprueba,hija,1.59702
Aprueba,funcionan,1.59566
Aprueba,di,1.59316
Aprueba,particular,1.5915
Aprueba,reduccion,1.58929
Aprueba,publico,1.58902
Aprueba,realiza,1.58853
Aprueba,freno,1.58827
Aprueba,alternativas,1.58807
Aprueba,haciedo,1.58651
Aprueba,anteriormente,1.5833
Aprueba,estàn,1.5833
Aprueba,conversaciòn,1.58305
Aprueba,dispuesto,1.58305
Aprueba,post,1.58305
Aprueba,pùblicas,1.58305
Aprueba,apoyando,1.5813
Aprueba,ultimamente,1.58068
Aprueba,espero,1.57922
Aprueba,contingencia,1.57745
Aprueba,violentos,1.5762
Aprueba,hechas,1.57307
Aprueba,inconveniente,1.5691
Aprueba,pedazos,1.56592
Aprueba,pendiente,1.56592
Aprueba,puente,1.56592
Aprueba,querian,1.56592
Aprueba,rios,1.56592
Aprueba,tipico,1.56592
Aprueba,decirlo,1.56045
Aprueba,aquejan,1.55301
Aprueba,ciudadano,1.55301
Aprueba,comfiable,1.55301
Aprueba,comun,1.55301
Aprueba,curso,1.55301
Aprueba,publicos,1.55271
Aprueba,autoridad,1.55254
Aprueba,adelantos,1.55066
Aprueba,promulgacion,1.54793
Aprueba,esperanzados,1.54542
